2017006    02,04,08,26,29,33|08    2017-01-12
2017005    06,11,12,22,23,30|05    2017-01-10
2017004    05,13,17,26,27,30|07    2017-01-08
2017003    01,04,08,15,27,32|16    2017-01-05
2017002    15,19,23,24,25,32|03    2017-01-03
2017001    09,11,14,20,25,26|15    2017-01-01
2016153    07,09,16,24,25,29|06    2016-12-29
2016152    02,08,09,16,20,22|07    2016-12-27
2016151    06,11,16,20,22,33|07    2016-12-25
2016150    02,04,05,09,13,21|05    2016-12-22
2017008    07,13,15,27,28,29|13    2017-01-17
2017007    02,04,05,24,26,33|15    2017-01-15
2017006    02,04,08,26,29,33|08    2017-01-12
2017005    06,11,12,22,23,30|05    2017-01-10
2017004    05,13,17,26,27,30|07    2017-01-08
2017003    01,04,08,15,27,32|16    2017-01-05
2017002    15,19,23,24,25,32|03    2017-01-03
2017001    09,11,14,20,25,26|15    2017-01-01
2016153    07,09,16,24,25,29|06    2016-12-29
2016152    02,08,09,16,20,22|07    2016-12-27
2017012    10,11,14,15,16,24|07    2017-01-26
2017011    10,11,12,23,26,29|16    2017-01-24
2017010    05,08,19,25,28,30|07    2017-01-22
2017009    02,06,08,09,15,29|14    2017-01-19
2017008    07,13,15,27,28,29|13    2017-01-17
2017007    02,04,05,24,26,33|15    2017-01-15
2017006    02,04,08,26,29,33|08    2017-01-12
2017005    06,11,12,22,23,30|05    2017-01-10
2017004    05,13,17,26,27,30|07    2017-01-08
2017003    01,04,08,15,27,32|16    2017-01-05
2017024    09,21,25,26,29,31|13    2017-03-02
2017023    01,03,04,11,18,22|14    2017-02-28
2017022    02,06,15,16,18,32|15    2017-02-26
2017021    02,05,10,22,32,33|09    2017-02-23
2017020    04,08,10,12,31,33|10    2017-02-21
2017019    04,06,08,12,23,25|08    2017-02-19
2017018    01,02,03,17,25,31|09    2017-02-16
2017017    03,07,08,10,22,23|12    2017-02-14
2017016    05,08,16,22,27,29|02    2017-02-12
2017015    01,08,09,14,17,32|01    2017-02-09
